run,competition,variant,k,cum_hours,score,medal,lower_better,file,note,metric_version,grader_sha256,mlebench_version,mlebench_commit
20260804_181406_spooky-base,spooky-author-identification,uncapped,9,10.72,0.25233,silver,1,top9ens-total_run_time10.72h.csv,,mlebench-unmodified,a95bd5969572fe4d2224dd010640f316a83ea55810bdff91b39a705db0305f59,1.0.0,
20260807_054111_jigsaw-base,jigsaw-toxic-comment-classification-challenge,capped,1,3.05,0.97997,-,0,top1ens-total_run_time3.05h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260807_054111_jigsaw-base,jigsaw-toxic-comment-classification-challenge,capped,2,6.49,0.98026,-,0,top2ens-total_run_time6.49h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260807_054111_jigsaw-base,jigsaw-toxic-comment-classification-challenge,capped,3,10.04,0.98037,-,0,top3ens-total_run_time10.04h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260807_054111_jigsaw-base,jigsaw-toxic-comment-classification-challenge,capped,4,10.4,0.9822,above-med,0,top4ens-total_run_time10.4h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260807_054111_jigsaw-base,jigsaw-toxic-comment-classification-challenge,uncapped,1,3.05,0.97997,-,0,top1ens-total_run_time3.05h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260807_054111_jigsaw-base,jigsaw-toxic-comment-classification-challenge,uncapped,2,6.49,0.98026,-,0,top2ens-total_run_time6.49h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260807_054111_jigsaw-base,jigsaw-toxic-comment-classification-challenge,uncapped,3,10.04,0.98037,-,0,top3ens-total_run_time10.04h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260807_054111_jigsaw-base,jigsaw-toxic-comment-classification-challenge,uncapped,4,10.4,0.9822,above-med,0,top4ens-total_run_time10.4h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260807_054111_jigsaw-base,jigsaw-toxic-comment-classification-challenge,uncapped,5,12.14,0.98237,above-med,0,top5ens-total_run_time12.14h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260807_054255_jigsaw-kb,jigsaw-toxic-comment-classification-challenge,capped,1,7.04,0.98503,above-med,0,top1ens-total_run_time7.04h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260807_054255_jigsaw-kb,jigsaw-toxic-comment-classification-challenge,capped,2,9.71,0.98508,above-med,0,top2ens-total_run_time9.71h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260807_054255_jigsaw-kb,jigsaw-toxic-comment-classification-challenge,capped,3,13.73,0.98458,above-med,0,top3ens-total_run_time13.73h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260807_054255_jigsaw-kb,jigsaw-toxic-comment-classification-challenge,capped,4,14.38,0.98417,above-med,0,top4ens-total_run_time14.38h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260807_054255_jigsaw-kb,jigsaw-toxic-comment-classification-challenge,uncapped,1,7.04,0.98503,above-med,0,top1ens-total_run_time7.04h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
